datatype	path	id	label	definition	ui_label	ui_definition	help	minValue	maxValue	minLength	maxLength	pattern	format	preferred_unit
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306869	peanut butter with smoky crisps											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306866	peanut butter with wheat germ oil											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306863	peanut butter with yeast											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03310989	peanut cocktail coated											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03310851	peanut dried											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03309994	peanut feed											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03312057	peanut flour defatted											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03310988	peanut flour-coated											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03309868	peanut fodder											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03302736	peanut hay											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03301320	peanut meal											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03309838	peanut meal (deoiled)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03309839	peanut meal (raw)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03310471	peanut meal ammoniated											
